,duichanghao,hang,lie,x,y
5409,22,1,21,71927.6,-6168.9
5410,22,1,22,72560.8,-6169
5411,22,1,23,73194,-6169.1
5412,22,1,24,73827.2,-6169.2
5413,22,1,25,74460.4,-6169.3
5414,22,1,26,75093.6,-6169.4
5415,22,1,27,75726.8,-6169.5
5416,22,1,28,76360,-6169.6
5417,22,1,29,76993.2,-6169.7
5418,22,1,30,77626.4,-6169.8
5419,22,1,31,78259.6,-6169.9
5420,22,1,32,78892.8,-6170
5421,22,1,33,79526,-6170.1
5422,22,1,34,80159.2,-6170.2
5423,22,1,35,80792.4,-6170.3
5424,22,1,36,81425.6,-6170.4
5425,22,1,37,82058.8,-6170.5
5426,22,1,38,82692,-6170.6
5427,22,1,39,83325.2,-6170.7
5428,22,1,40,83958.4,-6170.8
5429,22,1,41,84591.6,-6170.9
5430,22,1,42,85224.8,-6171
5431,22,1,43,85858,-6171.1
5432,22,1,44,86491.2,-6171.2
5433,22,2,1,59264.74,-6445.4
5434,22,2,2,59897.94,-6445.5
5435,22,2,3,60531.14,-6445.6
5436,22,2,4,61164.34,-6445.7
5437,22,2,5,61797.54,-6445.8
5438,22,2,6,62430.74,-6445.9
5439,22,2,7,63063.94,-6446
5440,22,2,8,63697.14,-6446.1
5441,22,2,9,64330.34,-6446.2
5442,22,2,10,64963.54,-6446.3
5443,22,2,11,65596.74,-6446.4
5444,22,2,12,66229.94,-6446.5
5445,22,2,13,66863.14,-6446.6
5446,22,2,14,67496.34,-6446.7
5447,22,2,15,68129.54,-6446.8
5448,22,2,16,68762.74,-6446.9
5449,22,2,17,69395.94,-6447
5450,22,2,18,70029.14,-6447.1
5451,22,2,19,70662.34,-6447.2
5452,22,2,20,71295.54,-6447.3
5453,22,2,21,71928.74,-6447.4
5454,22,2,22,72561.94,-6447.5
5455,22,2,23,73195.14,-6447.6
5456,22,2,24,73828.34,-6447.7
5457,22,2,25,74461.54,-6447.8
5458,22,2,26,75094.74,-6447.9
5459,22,2,27,75727.94,-6448
5460,22,2,28,76361.14,-6448.1
5461,22,2,29,76994.34,-6448.2
5462,22,2,30,77627.54,-6448.3
5463,22,2,31,78260.74,-6448.4
5464,22,2,32,78893.94,-6448.5
5465,22,2,33,79527.14,-6448.6
5466,22,2,34,80160.34,-6448.7
5467,22,2,35,80793.54,-6448.8
5468,22,2,36,81426.74,-6448.9
5469,22,2,37,82059.94,-6449
5470,22,2,38,82693.14,-6449.1
